f(Hz),Zc(%)
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
49,96
49,96
49,96
49,96
49,96
49,96
49,96
49,96
49,96
49,96
49,96
49,96
49,96
49,96
49,96
49,96
49,23
49,23
49,23
49,23
49,23
49,23
49,23
49,23
49,23
38,23
38,23
38,23
38,23
38,23
38,23
38,23
38,23
38,14
38,14
38,14
38,14
38,14
38,14
38,14
38,14
56,14
56,14
56,14
56,14
56,13
56,13
56,13
56,13
56,13
56,13
56,13
56,13
56,13
56,13
56,13
56,13
56,13
56,13
56,13
56,13
56,13
56,13
56,13
56,13
56,13
56,13
56,13
56,13
56,13
56,13
56,13
56,13
56,13
56,13
56,13
56,13
56,13
56,13
56,13
56,13
56,13
56,13
56,13
56,13
56,13
56,13
56,13
56,13
56,13
56,13
56,13
56,13
56,13
56,13
56,13
56,13
56,13
56,13
56,13
56,13
56,13
56,13
56,13
56,13
56,13
52,13
52,13
52,13
52,13
52,13
52,13
52,13
52,13
52,13
52,13
52,13
52,11
59,11
59,11
59,11
59,11
59,11
59,11
59,11
59,11
59,11
59,11
59,11
59,11
59,11
59,11
59,11
59,11
59,11
59,11
59,11
59,11
59,11
59,11
59,11
59,11
59,11
59,11
59,11
59,11
59,11
59,11
59,11
59,11
59,11
59,11
59,11
59,11
59,11
59,11
59,85
59,85
59,85
59,85
59,85
59,85
59,85
59,85
59,85
59,85
59,85
59,85
59,85
59,82
59,82
59,82
59,82
59,82
59,82
59,82
59,82
59,82
59,82
59,82
59,82
59,82
59,82
59,82
59,82
59,82
59,82
59,82
59,82
59,82
59,82
59,82
59,82
59,82
59,82
59,82
59,82
59,82
59,82
59,82
59,82
59,82
59,82
40,82
40,82
40,16
40,16
40,16
40,16
40,16
40,16
40,16
40,16
40,16
40,16
40,16
40,16
40,16
40,16
40,16
40,16
40,16
40,16
40,16
40,16
40,16
40,16
40,16
40,16
40,16
39,16
39,16
39,16
39,16
39,16
39,16
39,16
39,16
39,16
39,16
39,16
39,16
39,16
