f(Hz),Zc(%)
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
58,96
49,96
49,96
49,96
49,96
49,96
49,96
49,96
49,96
49,96
49,96
49,96
49,96
49,96
49,96
49,96
49,96
49,19
49,19
49,19
49,19
49,19
49,19
49,19
49,19
49,19
38,19
38,19
38,19
38,19
38,19
38,19
38,19
38,19
38,10
38,10
38,10
38,10
38,10
38,10
38,10
38,10
56,10
56,10
56,10
56,10
56,9
56,9
56,9
56,9
56,9
56,9
56,9
56,9
56,9
56,9
56,9
56,9
56,9
56,9
56,9
56,9
56,9
56,9
56,9
56,9
56,9
56,9
56,9
56,9
56,9
56,9
56,9
56,9
56,9
56,9
56,9
56,9
56,9
56,9
56,9
56,9
56,9
56,9
56,9
56,9
56,9
56,9
56,9
56,9
56,9
56,9
56,9
56,9
56,9
56,9
56,9
56,9
56,9
56,9
56,9
56,9
56,9
56,9
56,9
56,9
56,9
52,9
52,9
52,9
52,9
52,9
52,9
52,9
52,9
52,9
52,9
52,9
52,7
59,7
59,7
59,7
59,7
59,7
59,7
59,7
59,7
59,7
59,7
59,7
59,7
59,7
59,7
59,7
59,7
59,7
59,7
59,7
59,7
59,7
59,7
59,7
59,7
59,7
59,7
59,7
59,7
59,7
59,7
59,7
59,7
59,7
59,7
59,7
59,7
59,7
59,7
59,84
59,84
59,84
59,84
59,84
59,84
59,84
59,84
59,84
59,84
59,84
59,84
59,84
59,81
59,81
59,81
59,81
59,81
59,81
59,81
59,81
59,81
59,81
59,81
59,81
59,81
59,81
59,81
59,81
59,81
59,81
59,81
59,81
59,81
59,81
59,81
59,81
59,81
59,81
59,81
59,81
59,81
59,81
59,81
59,81
59,81
59,81
40,81
40,81
40,11
40,11
40,11
40,11
40,11
40,11
40,11
40,11
40,11
40,11
40,11
40,11
40,11
40,11
40,11
40,11
40,11
40,11
40,11
40,11
40,11
40,11
40,11
40,11
40,11
39,11
39,11
39,11
39,11
39,11
39,11
39,11
39,11
39,11
39,11
39,11
39,11
39,11
